index,month,day,FFMC,DMC,DC,temp,RH,wind,hypotenuse,burned_area
388,8,5,94.8,227,706.7,23.3,34,3.1,7.211102551,0.2874
389,8,5,94.8,227,706.7,23.3,34,3.1,8.062257748,0
390,2,1,84.7,9.5,58.3,7.5,71,6.3,8.062257748,0.0996
391,9,5,91.1,91.3,738.1,20.7,46,2.7,10,0.3018
392,9,7,91,276.3,825.1,21.9,43,4,3.16227766,0.7076
393,3,2,93.4,15,25.6,15.2,19,7.6,4.472135955,0
394,2,1,84.1,4.6,46.7,5.3,68,1.8,7.810249676,0
395,2,7,85,9,56.9,10.1,62,1.8,6.403124237,0.5178
396,9,7,90.5,96.7,750.5,20.4,55,4.9,5,0.0364
397,8,7,91.6,181.3,613,24.3,33,3.6,7.810249676,0.0363
398,8,6,93.7,231.1,715.1,25.9,32,3.1,2.236067977,0
399,6,3,93.3,49.5,297.7,28,34,4.5,10.29563014,0
400,6,3,93.3,49.5,297.7,28,34,4.5,10.29563014,0.0816
401,9,4,91.1,88.2,731.7,22.8,46,4,5,0.0495
402,8,5,94.8,227,706.7,25,36,4,12.72792206,0
403,8,4,90.7,194.1,643,21.3,41,3.6,10,0
404,9,3,87.9,84.8,725.1,21.8,34,2.2,4.472135955,0.0604
405,8,2,94.6,212.1,680.9,27.9,27,2.2,2.828427125,0
406,9,6,87.1,291.3,860.6,17,67,4.9,7.810249676,0.0395
407,2,6,84.7,8.2,55,14.2,46,4,6.403124237,0
408,9,5,90.3,290,855.3,19.9,44,3.1,5,0.078
409,7,2,92.3,96.2,450.2,23.4,31,5.4,4.123105626,0
410,2,5,84.1,7.3,52.8,14.7,42,2.7,6.708203932,0
411,2,5,84.6,3.2,43.6,8.2,53,9.4,8.062257748,0.0462
412,7,1,92.3,92.1,442.1,22.8,27,4.5,9.848857802,0.0163
413,8,6,93.7,231.1,715.1,26.4,33,3.6,8.602325267,0
414,8,7,93.6,235.1,723.1,24.1,50,4,6.403124237,0
415,8,4,94.8,222.4,698.6,27.5,27,4.9,10,7.4628
416,7,2,92.7,164.1,575.8,26.3,39,3.1,6.708203932,0.0702
417,3,3,93.4,17.3,28.3,13.8,24,5.8,7.810249676,0
418,8,7,92,203.2,664.5,24.9,42,5.4,4.472135955,0.0244
419,8,7,91.6,181.3,613,24.8,36,4,5.385164807,0.0305
420,8,3,91.7,191.4,635.9,26.2,36,4.5,11.3137085,1.8576
421,8,3,95.2,217.7,690,30.8,19,4.5,4.472135955,0
422,7,7,88.9,263.1,795.9,29.3,27,3.6,10,0.063
423,9,6,91.2,94.3,744.4,22.3,48,4,3.16227766,0.0072
424,8,6,93.7,231.1,715.1,26.9,31,3.6,10,0.0496
425,8,4,91.6,248.4,753.8,20.4,56,2.2,2.828427125,0
426,8,4,91.6,248.4,753.8,20.4,56,2.2,10,0
427,8,1,92.1,207,672.6,27.9,33,2.2,4.472135955,0.0235
428,8,4,94.8,222.4,698.6,26.2,34,5.8,3.16227766,0
429,8,7,91.6,181.3,613,24.6,44,4,5,0.032
430,9,4,89.7,287.2,849.3,19.4,45,3.6,8.062257748,0
431,8,6,92.1,178,605.3,23.3,40,4,3.16227766,0.0636
432,8,4,94.8,222.4,698.6,23.9,38,6.7,10,0
433,8,7,93.6,235.1,723.1,20.9,66,4.9,4.472135955,0.1534
434,8,5,90.6,269.8,811.2,22.2,45,3.6,4.123105626,0
435,7,6,90.8,84.7,376.6,23.8,51,1.8,5.385164807,0
436,8,1,92.1,207,672.6,26.8,35,1.3,10,0.0054
437,8,6,89.4,253.6,768.4,14.2,73,2.7,10,0
438,8,6,93.7,231.1,715.1,23.6,53,4,5.385164807,0.0643
439,9,5,91.1,91.3,738.1,19.1,46,2.2,3.16227766,0.0033
440,9,5,90.3,290,855.3,16.2,58,3.6,6.403124237,0
441,8,1,92.1,207,672.6,25.5,29,1.8,10,0.0123
442,4,1,87.9,24.9,41.6,10.9,64,3.1,7.810249676,0.0335
443,7,5,90.7,80.9,368.3,14.8,78,8,2.236067977,0
444,9,5,90.3,290,855.3,16.2,58,3.6,5.385164807,0.0996
445,8,7,94,47.9,100.7,17.3,80,4.5,7.071067812,0
446,8,7,92,203.2,664.5,19.1,70,2.2,7.810249676,0
447,3,3,93.4,17.3,28.3,8.9,35,8,5,0
448,9,3,89.7,284.9,844,10.5,77,4,8.062257748,0
449,8,7,91.6,181.3,613,19.3,61,4.9,8.062257748,0
450,8,3,95.2,217.7,690,23.4,49,5.4,6.403124237,0.0643
451,8,5,90.5,196.8,649.9,11.8,88,4.9,4.123105626,0.0971
452,8,1,91.5,238.2,730.6,17.7,65,4,8.062257748,0
453,8,4,89.4,266.2,803.3,17.4,54,3.1,6.403124237,0
454,8,4,91.6,248.4,753.8,16.8,56,3.1,5,0
455,7,1,94.6,160,567.2,17.9,48,2.7,5,0
456,8,4,91.6,248.4,753.8,16.6,59,2.7,4.472135955,0
457,8,3,91.7,191.4,635.9,19.9,50,4,4.123105626,0.8275
458,8,6,93.7,231.1,715.1,18.9,64,4.9,10,0.0332
459,8,6,91.6,273.8,819.1,15.5,72,8,8.062257748,0.0194
460,8,6,93.7,231.1,715.1,18.9,64,4.9,5.385164807,0
461,8,6,93.7,231.1,715.1,18.9,64,4.9,10,0
462,9,7,91,276.3,825.1,14.5,76,7.6,4.123105626,0.0371
463,2,2,75.1,4.4,16.2,4.6,82,6.3,7.810249676,0.0539
464,2,2,75.1,4.4,16.2,5.1,77,5.4,7.211102551,0.0214
465,2,6,79.5,3.6,15.3,4.6,59,0.9,2.828427125,0.0684
466,3,1,87.2,15.1,36.9,10.2,45,5.8,7.810249676,0.0318
467,3,3,90.2,18.5,41.1,11.2,41,5.4,5,0.0555
468,3,4,91.3,20.6,43.5,13.3,27,3.6,7.810249676,0.0661
469,4,7,91,14.6,25.6,13.7,33,9.4,6.708203932,0.6113
470,4,7,91,14.6,25.6,17.6,27,5.8,6.403124237,0
471,5,5,89.6,25.4,73.7,18,40,4,5,0.3848
472,6,1,88.2,96.2,229,14.3,79,4,8.544003745,0.0194
473,6,6,90.5,61.1,252.6,24.5,50,3.1,9.848857802,0.7032
474,6,4,93,103.8,316.7,26.4,35,2.7,5,0.1008
475,6,4,93.7,121.7,350.2,22.7,40,9.4,5.385164807,0.0319
476,7,4,93.5,85.3,395,27.2,28,1.3,5,0.0176
477,7,7,93.7,101.3,423.4,26.1,45,4,5,0.0736
478,7,7,93.7,101.3,423.4,18.2,82,4.5,8.062257748,0.0221
479,7,1,89.2,103.9,431.6,22.6,57,4.9,8.062257748,2.7853
480,7,4,93.2,114.4,560,30.2,25,4.5,12.72792206,0.0275
481,7,4,93.2,114.4,560,30.2,22,4.9,5,0
482,8,7,94.9,130.3,587.1,23.4,40,5.8,5,0.0129
483,8,7,94.9,130.3,587.1,31,27,5.4,10,0
484,8,7,94.9,130.3,587.1,33.1,25,4,5.385164807,0.2643
485,8,1,95,135.5,596.3,30.6,28,3.6,4.472135955,0.0207
486,8,2,95.1,141.3,605.8,24.1,43,6.3,6.403124237,0.02
487,8,2,95.1,141.3,605.8,26.4,34,3.6,6.403124237,0.164
488,8,2,95.1,141.3,605.8,19.4,71,7.6,5.656854249,0.467
489,8,3,95.1,141.3,605.8,20.6,58,1.3,5.656854249,0
490,8,3,95.1,141.3,605.8,28.7,33,4,5.656854249,0
491,8,4,95.8,152,624.1,32.4,21,4.5,5.656854249,0
492,8,5,95.9,158,633.6,32.4,27,2.2,3.16227766,0
493,8,5,95.9,158,633.6,27.5,29,4.5,3.16227766,0.4332
494,8,6,96,164,643,30.8,30,4.9,8.485281374,0.0859
495,8,1,96.2,175.5,661.8,23.9,42,2.2,8.485281374,0
496,8,1,96.2,175.5,661.8,32.6,26,3.1,6.403124237,0.0277
497,8,2,96.1,181.1,671.2,32.3,27,2.2,5,0.1468
498,8,2,96.1,181.1,671.2,33.3,26,2.7,7.810249676,0.4054
499,8,2,96.1,181.1,671.2,27.3,63,4.9,8.602325267,0.1082
500,8,2,96.1,181.1,671.2,21.6,65,4.9,10,0
501,8,2,96.1,181.1,671.2,21.6,65,4.9,8.602325267,0
502,8,2,96.1,181.1,671.2,20.7,69,4.9,5.656854249,0
503,8,3,94.5,139.4,689.1,29.2,30,4.9,4.472135955,0.0195
504,8,3,94.5,139.4,689.1,28.9,29,4.9,5,0.4959
505,8,4,91,163.2,744.4,26.7,35,1.8,2.236067977,0.058
506,8,5,91,166.9,752.6,18.5,73,8.5,2.236067977,0
507,8,5,91,166.9,752.6,25.9,41,3.6,4.472135955,0
508,8,5,91,166.9,752.6,25.9,41,3.6,2.236067977,0
509,8,5,91,166.9,752.6,21.1,71,7.6,6.403124237,0.0217
510,8,5,91,166.9,752.6,18.2,62,5.4,7.810249676,0.0043
511,8,7,81.6,56.7,665.6,27.8,35,2.7,10,0
512,8,7,81.6,56.7,665.6,27.8,32,2.7,5,0.0644
513,8,7,81.6,56.7,665.6,21.9,71,5.8,4.472135955,0.5429
514,8,7,81.6,56.7,665.6,21.2,70,6.7,8.062257748,0.1116
515,8,6,94.4,146,614.7,25.6,42,4,4.123105626,0
516,11,2,79.5,3,106.7,11.8,31,4.5,6.708203932,0
